,accuracy,sensitivity,specificity,precision,f1,auc
0,0.825,0.9102564102564102,0.7439024390243902,0.7717391304347826,0.8352941176470589,0.9287054409005628
1,0.7875,0.9113924050632911,0.6666666666666666,0.7272727272727273,0.8089887640449438,0.9038912330051571
2,0.80625,0.9113924050632911,0.7037037037037037,0.75,0.8228571428571428,0.9115486794811689
3,0.7625,0.9113924050632911,0.6172839506172839,0.6990291262135923,0.7912087912087912,0.8882637912173776
4,0.8,0.9113924050632911,0.691358024691358,0.7422680412371134,0.8181818181818182,0.9018596655727458
